image_id, image_path, reference
0, ./data/raw/0.jpeg, https://twitter.com/16aleeexo/status/1759319934507929659/photo/1
1, ./data/raw/1.jpeg, https://twitter.com/16aleeexo/status/1745805696065814985/photo/1
2, ./data/raw/2.jpeg, https://twitter.com/16aleeexo/status/1738986117612143034/photo/1
3, ./data/raw/3.jpeg, https://twitter.com/gHY33CH1W412iz6/status/1759925557666701473/photo/1
4, ./data/raw/4.jpeg, https://twitter.com/MM_SUPREY0109/status/1764075438249578526/photo/1
5, ./data/raw/5.jpeg, https://twitter.com/cyndaquil_x/status/1764408417131843666/photo/1
6, ./data/raw/6.jpeg, https://twitter.com/Ghostyfn18/status/1764787054481997925/photo/1
7, ./data/raw/7.jpeg, https://twitter.com/Pelotudamente/status/1762929622273122382/photo/1
8, ./data/raw/8.jpeg, https://twitter.com/Jan_0405/status/1764396139095449833/photo/1
9, ./data/raw/9.jpeg, https://twitter.com/Aceiscanadian/status/1764486164361167050/photo/1
